"Date","Season","round","leg","home","visitor","FT","HT","aet","pens","hgoal","vgoal","FTagg_home","FTagg_visitor","aethgoal","aetvgoal","tothgoal","totvgoal","totagg_home","totagg_visitor","tiewinner","hcountry","vcountry"
1998-03-04,1997,"QF","1","AS Monaco","Manchester United","0-0","0-0",NA,NA,0,0,1,1,NA,NA,0,0,1,1,"AS Monaco","FRA","ENG"
1998-03-04,1997,"QF","1","Bayer Leverkusen","Real Madrid","1-1","1-0",NA,NA,1,1,1,4,NA,NA,1,1,1,4,"Real Madrid","GER","ESP"
1998-03-04,1997,"QF","1","Bayern Munich","Borussia Dortmund","0-0","0-0",NA,NA,0,0,0,0,NA,NA,0,0,0,1,"Borussia Dortmund","GER","GER"
1998-03-04,1997,"QF","1","Juventus","Dinamo Kiev","1-1","0-0",NA,NA,1,1,5,2,NA,NA,1,1,5,2,"Juventus","ITA","UKR"
1998-03-18,1997,"QF","2","Manchester United","AS Monaco","1-1","0-1",NA,"away goals",1,1,1,1,NA,NA,1,1,1,1,"AS Monaco","ENG","FRA"
1998-03-18,1997,"QF","2","Real Madrid","Bayer Leverkusen","3-0","0-0",NA,NA,3,0,4,1,NA,NA,3,0,4,1,"Real Madrid","ESP","GER"
1998-03-18,1997,"QF","2","Borussia Dortmund","Bayern Munich","0-0","0-0","1-0",NA,0,0,0,0,1,0,1,0,1,0,"Borussia Dortmund","GER","GER"
1998-03-18,1997,"QF","2","Dinamo Kiev","Juventus","1-4","0-1",NA,NA,1,4,2,5,NA,NA,1,4,2,5,"Juventus","UKR","ITA"
1998-04-01,1997,"SF","1","Juventus","AS Monaco","4-1","2-1",NA,NA,4,1,6,4,NA,NA,4,1,6,4,"Juventus","ITA","FRA"
1998-04-01,1997,"SF","1","Real Madrid","Borussia Dortmund","2-0","1-0",NA,NA,2,0,2,0,NA,NA,2,0,2,0,"Real Madrid","ESP","GER"
1998-04-15,1997,"SF","2","AS Monaco","Juventus","3-2","1-1",NA,NA,3,2,4,6,NA,NA,3,2,4,6,"Juventus","FRA","ITA"
1998-04-15,1997,"SF","2","Borussia Dortmund","Real Madrid","0-0","0-0",NA,NA,0,0,0,2,NA,NA,0,0,0,2,"Real Madrid","GER","ESP"
1998-05-20,1997,"final",NA,"Real Madrid","Juventus","1-0",NA,NA,NA,1,0,1,0,NA,NA,1,0,1,0,"Real Madrid","ESP","ITA"
1998-07-22,1998,"Q-1","1","Valletta","Anorthosis Famagusta","0-2",NA,NA,NA,0,2,0,8,NA,NA,0,2,0,8,"Anorthosis Famagusta","MLT","CYP"
1998-07-22,1998,"Q-1","1","Beitar Jerusalem","B36 Torshavn","4-1",NA,NA,NA,4,1,5,1,NA,NA,4,1,5,1,"Beitar Jerusalem","ISR","FRO"
1998-07-22,1998,"Q-1","1","Dinamo Kiev","Barry Town","8-0",NA,NA,NA,8,0,10,1,NA,NA,8,0,10,1,"Dinamo Kiev","UKR","WAL"
1998-07-22,1998,"Q-1","1","Celtic","St Patrick's Athletic","0-0",NA,NA,NA,0,0,2,0,NA,NA,0,0,2,0,"Celtic","SCO","IRL"
1998-07-22,1998,"Q-1","1","Cliftonville","Kosice","1-5",NA,NA,NA,1,5,1,13,NA,NA,1,5,1,13,"Kosice","NIR","SVK"
1998-07-22,1998,"Q-1","1","FK Sileks","Club Brugge","0-0",NA,NA,NA,0,0,1,2,NA,NA,0,0,1,2,"Club Brugge","MKD","BEL"
1998-07-22,1998,"Q-1","1","Skonto","Dinamo Minsk","0-0",NA,NA,NA,0,0,2,1,NA,NA,0,0,2,1,"Skonto","LVA","BLR"
1998-07-22,1998,"Q-1","1","Dinamo Tbilisi","FK Vllaznia","3-0",NA,NA,NA,3,0,4,3,NA,NA,3,0,4,3,"Dinamo Tbilisi","GEO","ALB"
1998-07-22,1998,"Q-1","1","HJK Helsinki","FC Yerevan","2-0",NA,NA,NA,2,0,5,0,NA,NA,2,0,5,0,"HJK Helsinki","FIN","ARM"
1998-07-22,1998,"Q-1","1","FK Kareda Kaunas","NK Maribor","0-3",NA,NA,NA,0,3,0,4,NA,NA,0,3,0,4,"NK Maribor","LTU","SVN"
1998-07-22,1998,"Q-1","1","FK Obilic","IB Vestmannaeyja","2-0",NA,NA,NA,2,0,4,1,NA,NA,2,0,4,1,"FK Obilic","SRB","ISL"
1998-07-22,1998,"Q-1","1","Steaua Bucuresti","Flora Tallinn","4-1",NA,NA,NA,4,1,5,4,NA,NA,4,1,5,4,"Steaua Bucuresti","ROU","EST"
1998-07-22,1998,"Q-1","1","Grasshoppers Zurich","Jeunesse Esch","6-0",NA,NA,NA,6,0,8,0,NA,NA,6,0,8,0,"Grasshoppers Zurich","SUI","LUX"
1998-07-22,1998,"Q-1","1","PFC Litex Lovech","Halmstads BK","2-0",NA,NA,NA,2,0,3,2,NA,NA,2,0,3,2,"PFC Litex Lovech","BUL","SWE"
1998-07-22,1998,"Q-1","1","LKS Lodz","Kapaz","4-1",NA,NA,NA,4,1,7,2,NA,NA,4,1,7,2,"LKS Lodz","POL","AZE"
1998-07-22,1998,"Q-1","1","Zimbru Chisinau","Ujpesti Dozsa SC","1-0",NA,NA,NA,1,0,2,3,NA,NA,1,0,2,3,"Ujpesti Dozsa SC","MDA","HUN"
1998-07-27,1998,"Q-1","2","B36 Torshavn","Beitar Jerusalem","0-1",NA,NA,NA,0,1,1,5,NA,NA,0,1,1,5,"Beitar Jerusalem","FRO","ISR"
1998-07-29,1998,"Q-1","2","Anorthosis Famagusta","Valletta","6-0",NA,NA,NA,6,0,8,0,NA,NA,6,0,8,0,"Anorthosis Famagusta","CYP","MLT"
1998-07-29,1998,"Q-1","2","Barry Town","Dinamo Kiev","1-2",NA,NA,NA,1,2,1,10,NA,NA,1,2,1,10,"Dinamo Kiev","WAL","UKR"
1998-07-29,1998,"Q-1","2","St Patrick's Athletic","Celtic","0-2",NA,NA,NA,0,2,0,2,NA,NA,0,2,0,2,"Celtic","IRL","SCO"
1998-07-29,1998,"Q-1","2","Kosice","Cliftonville","8-0",NA,NA,NA,8,0,13,1,NA,NA,8,0,13,1,"Kosice","SVK","NIR"
1998-07-29,1998,"Q-1","2","Club Brugge","FK Sileks","2-1",NA,NA,NA,2,1,2,1,NA,NA,2,1,2,1,"Club Brugge","BEL","MKD"
1998-07-29,1998,"Q-1","2","Dinamo Minsk","Skonto","1-2",NA,NA,NA,1,2,1,2,NA,NA,1,2,1,2,"Skonto","BLR","LVA"
1998-07-29,1998,"Q-1","2","FK Vllaznia","Dinamo Tbilisi","3-1",NA,NA,NA,3,1,3,4,NA,NA,3,1,3,4,"Dinamo Tbilisi","ALB","GEO"
1998-07-29,1998,"Q-1","2","FC Yerevan","HJK Helsinki","0-3",NA,NA,NA,0,3,0,5,NA,NA,0,3,0,5,"HJK Helsinki","ARM","FIN"
1998-07-29,1998,"Q-1","2","NK Maribor","FK Kareda Kaunas","1-0",NA,NA,NA,1,0,4,0,NA,NA,1,0,4,0,"NK Maribor","SVN","LTU"
1998-07-29,1998,"Q-1","2","IB Vestmannaeyja","FK Obilic","1-2",NA,NA,NA,1,2,1,4,NA,NA,1,2,1,4,"FK Obilic","ISL","SRB"
1998-07-29,1998,"Q-1","2","Flora Tallinn","Steaua Bucuresti","3-1",NA,NA,NA,3,1,4,5,NA,NA,3,1,4,5,"Steaua Bucuresti","EST","ROU"
1998-07-29,1998,"Q-1","2","Jeunesse Esch","Grasshoppers Zurich","0-2",NA,NA,NA,0,2,0,8,NA,NA,0,2,0,8,"Grasshoppers Zurich","LUX","SUI"
1998-07-29,1998,"Q-1","2","Halmstads BK","PFC Litex Lovech","2-1",NA,NA,NA,2,1,2,3,NA,NA,2,1,2,3,"PFC Litex Lovech","SWE","BUL"
1998-07-29,1998,"Q-1","2","Kapaz","LKS Lodz","1-3",NA,NA,NA,1,3,2,7,NA,NA,1,3,2,7,"LKS Lodz","AZE","POL"
1998-07-29,1998,"Q-1","2","Ujpesti Dozsa SC","Zimbru Chisinau","3-1",NA,NA,NA,3,1,3,2,NA,NA,3,1,3,2,"Ujpesti Dozsa SC","HUN","MDA"
1998-08-12,1998,"Q-2","1","Dinamo Kiev","Sparta Praha","0-1",NA,NA,NA,0,1,1,1,NA,NA,0,1,1,1,"Dinamo Kiev","UKR","CZE"
1998-08-12,1998,"Q-2","1","Dinamo Tbilisi","Athletic Bilbao","2-1",NA,NA,NA,2,1,2,2,NA,NA,2,1,2,2,"Athletic Bilbao","GEO","ESP"
1998-08-12,1998,"Q-2","1","Rosenborg BK","Club Brugge","2-0",NA,NA,NA,2,0,4,4,NA,NA,2,0,4,4,"Rosenborg BK","NOR","BEL"
1998-08-12,1998,"Q-2","1","Olympiacos","Anorthosis Famagusta","2-1",NA,NA,NA,2,1,6,3,NA,NA,2,1,6,3,"Olympiacos","GRE","CYP"
1998-08-12,1998,"Q-2","1","Bayern Munich","FK Obilic","4-0",NA,NA,NA,4,0,5,1,NA,NA,4,0,5,1,"Bayern Munich","GER","SRB"
1998-08-12,1998,"Q-2","1","SL Benfica","Beitar Jerusalem","6-0",NA,NA,NA,6,0,8,4,NA,NA,6,0,8,4,"SL Benfica","POR","ISR"
1998-08-12,1998,"Q-2","1","Kosice","Brondby IF","0-2",NA,NA,NA,0,2,1,2,NA,NA,0,2,1,2,"Brondby IF","SVK","DEN"
1998-08-12,1998,"Q-2","1","Celtic","Dinamo Zagreb","1-0",NA,NA,NA,1,0,1,3,NA,NA,1,0,1,3,"Dinamo Zagreb","SCO","CRO"
1998-08-12,1998,"Q-2","1","Galatasaray","Grasshoppers Zurich","2-1",NA,NA,NA,2,1,5,3,NA,NA,2,1,5,3,"Galatasaray","TUR","SUI"
1998-08-12,1998,"Q-2","1","HJK Helsinki","Metz","1-0",NA,NA,NA,1,0,2,1,NA,NA,1,0,2,1,"HJK Helsinki","FIN","FRA"
1998-08-12,1998,"Q-2","1","Internazionale","Skonto","4-0",NA,NA,NA,4,0,7,1,NA,NA,4,0,7,1,"Internazionale","ITA","LVA"
1998-08-12,1998,"Q-2","1","Manchester United","LKS Lodz","2-0",NA,NA,NA,2,0,2,0,NA,NA,2,0,2,0,"Manchester United","ENG","POL"
1998-08-12,1998,"Q-2","1","NK Maribor","PSV Eindhoven","2-1",NA,NA,NA,2,1,3,3,NA,NA,2,1,3,5,"PSV Eindhoven","SVN","NED"
1998-08-12,1998,"Q-2","1","Steaua Bucuresti","Panathinaikos","2-2",NA,NA,NA,2,2,5,8,NA,NA,2,2,5,8,"Panathinaikos","ROU","GRE"
1998-08-12,1998,"Q-2","1","PFC Litex Lovech","Spartak Moskva","0-5",NA,NA,NA,0,5,2,11,NA,NA,0,5,2,11,"Spartak Moskva","BUL","RUS"
1998-08-12,1998,"Q-2","1","Sturm Graz","Ujpesti Dozsa SC","4-0",NA,NA,NA,4,0,7,2,NA,NA,4,0,7,2,"Sturm Graz","AUT","HUN"
1998-08-26,1998,"Q-2","2","Sparta Praha","Dinamo Kiev","0-1",NA,"0-1","1-3",0,1,1,1,0,1,0,1,1,1,"Dinamo Kiev","CZE","UKR"
1998-08-26,1998,"Q-2","2","Athletic Bilbao","Dinamo Tbilisi","1-0",NA,NA,"away goals",1,0,2,2,NA,NA,1,0,2,2,"Athletic Bilbao","ESP","GEO"
1998-08-26,1998,"Q-2","2","Club Brugge","Rosenborg BK","4-2",NA,NA,"away goals",4,2,4,4,NA,NA,4,2,4,4,"Rosenborg BK","BEL","NOR"
1998-08-26,1998,"Q-2","2","Anorthosis Famagusta","Olympiacos","2-4",NA,NA,NA,2,4,3,6,NA,NA,2,4,3,6,"Olympiacos","CYP","GRE"
1998-08-26,1998,"Q-2","2","FK Obilic","Bayern Munich","1-1",NA,NA,NA,1,1,1,5,NA,NA,1,1,1,5,"Bayern Munich","SRB","GER"
1998-08-26,1998,"Q-2","2","Beitar Jerusalem","SL Benfica","4-2",NA,NA,NA,4,2,4,8,NA,NA,4,2,4,8,"SL Benfica","ISR","POR"
